5.510997,0.34544,-0.72806,0.10417,5.14856,5.15540
5.526277,0.34510,-0.72856,0.10283,5.14856,5.15475
5.541438,0.34405,-0.72982,0.11431,5.14856,5.15291
5.556438,0.34370,-0.73024,0.11120,5.14856,5.15230
5.571519,0.33558,-0.73136,0.10185,5.14856,5.14257
5.586517,0.33488,-0.73059,0.10381,5.14856,5.14218
5.601580,0.33278,-0.72828,0.10577,5.14856,5.14100
5.619914,0.33564,-0.72358,0.11047,5.14856,5.14671
5.635116,0.34062,-0.72331,0.10738,5.14856,5.15250
5.650194,0.34986,-0.72604,0.09457,5.14856,5.16143
5.665190,0.34622,-0.72198,0.10269,5.14856,5.15954
5.680318,0.34258,-0.71792,0.11081,5.14856,5.15762
5.695434,0.34426,-0.72254,0.10563,5.14856,5.15703
5.713773,0.34527,-0.72542,0.10893,5.14856,5.15661
5.728849,0.34706,-0.73080,0.11389,5.14856,5.15576
5.744029,0.34300,-0.72702,0.11221,5.14856,5.15321
5.759184,0.33894,-0.72576,0.11165,5.14856,5.14930
5.774216,0.34202,-0.73108,0.09065,5.14856,5.14997
5.789340,0.34160,-0.73073,0.09520,5.14856,5.14968
5.804394,0.34034,-0.72968,0.10885,5.14856,5.14882
5.822845,0.33866,-0.72985,0.10863,5.14856,5.14684
5.838077,0.33754,-0.72996,0.11039,5.14856,5.14551
5.853073,0.33782,-0.72576,0.11585,5.14856,5.14803
5.868115,0.33775,-0.72779,0.10794,5.14856,5.14689
5.883335,0.33754,-0.73388,0.10003,5.14856,5.14348
5.898463,0.33922,-0.72905,0.10633,5.14856,5.14789
5.916810,0.34073,-0.72778,0.10781,5.14856,5.15026
5.931927,0.34454,-0.72912,0.10535,5.14856,5.15383
5.947181,0.34356,-0.72674,0.12117,5.14856,5.15399
5.962405,0.34258,-0.72436,0.11907,5.14856,5.15416
5.977575,0.34111,-0.72436,0.10479,5.14856,5.15250
5.992567,0.34062,-0.72520,0.10794,5.14856,5.15150
6.007638,0.34426,-0.72772,0.11739,5.14856,5.15426
6.025968,0.34236,-0.72503,0.11806,5.14856,5.15355
6.041011,0.33950,-0.72324,0.11851,5.14856,5.15127
6.056024,0.34062,-0.72324,0.10353,5.14856,5.15254
6.071009,0.34223,-0.72310,0.10280,5.14856,5.15443
6.086006,0.34706,-0.72268,0.10059,5.14856,5.16010
6.101114,0.34062,-0.72674,0.10847,5.14856,5.15068
6.119507,0.33418,-0.73080,0.11081,5.14856,5.14128
6.134654,0.33838,-0.72464,0.10969,5.14856,5.14926
6.149827,0.33670,-0.72513,0.10899,5.14856,5.14710
6.164820,0.33166,-0.72660,0.10829,5.14856,5.14060
6.179945,0.34048,-0.72723,0.10609,5.14856,5.15026
6.195059,0.34342,-0.72744,0.10535,5.14856,5.15346
6.213354,0.33390,-0.72744,0.10927,5.14856,5.14271
6.228355,0.33572,-0.72240,0.11039,5.14856,5.14742
6.243566,0.33754,-0.71736,0.11151,5.14856,5.15218
6.258711,0.33418,-0.72387,0.11473,5.14856,5.14489
6.273690,0.33306,-0.72667,0.11008,5.14856,5.14215
6.288716,0.33978,-0.72856,0.09611,5.14856,5.14877
6.307020,0.33530,-0.72402,0.09628,5.14856,5.14609
6.322307,0.32858,-0.72100,0.09639,5.14856,5.14000
6.337319,0.33922,-0.72408,0.10465,5.14856,5.15051
6.352371,0.33936,-0.72240,0.10812,5.14856,5.15156
6.367465,0.33978,-0.71736,0.11851,5.14856,5.15474
6.382635,0.33768,-0.72254,0.11690,5.14856,5.14958
6.401011,0.33558,-0.72772,0.11484,5.14856,5.14447
6.416103,0.34230,-0.72464,0.11305,5.14856,5.15369
